epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0352,1.72215,2.20386,1.57284,0.35678,0.39626,0.30058,0.11085,2.03454,3.63362,1.91637,0.000663212,0.000663212,0.000663212
2,81.5363,1.81136,1.89593,1.62274,0.44004,0.46294,0.42273,0.18004,1.89404,1.96318,1.68504,0.00130355,0.00130355,0.00130355
3,116.181,1.80124,1.84419,1.62885,0.42319,0.3968,0.34553,0.13955,2.0409,2.06695,1.85447,0.00191748,0.00191748,0.00191748
4,152.085,1.79423,1.82455,1.61944,0.42765,0.39317,0.35039,0.14179,2.06497,1.95007,1.80161,0.0018812,0.0018812,0.0018812
5,187.07,1.75717,1.76974,1.59274,0.48923,0.4593,0.44831,0.19325,1.89859,1.87236,1.65906,0.0018416,0.0018416,0.0018416
6,222.482,1.73021,1.72175,1.56238,0.55381,0.4593,0.49231,0.22358,1.88279,1.74091,1.65177,0.001802,0.001802,0.001802
7,257.57,1.71197,1.68841,1.55091,0.42854,0.39317,0.36624,0.16527,1.84578,1.88954,1.58693,0.0017624,0.0017624,0.0017624
8,292.649,1.68055,1.67544,1.54194,0.47389,0.47529,0.43606,0.19181,1.82109,1.78658,1.61057,0.0017228,0.0017228,0.0017228
9,327.551,1.67548,1.6451,1.53903,0.51623,0.43196,0.44097,0.20117,1.83,1.71447,1.59307,0.0016832,0.0016832,0.0016832
10,362.426,1.65645,1.61257,1.52625,0.56481,0.43764,0.47982,0.22801,1.80948,1.63125,1.5944,0.0016436,0.0016436,0.0016436
11,397.538,1.64749,1.61254,1.51743,0.55916,0.4673,0.50355,0.24665,1.73633,1.63194,1.57337,0.001604,0.001604,0.001604
12,432.906,1.63586,1.58316,1.4992,0.52274,0.47761,0.48053,0.22799,1.81877,1.65284,1.62204,0.0015644,0.0015644,0.0015644
13,467.967,1.64004,1.59153,1.51034,0.53225,0.49055,0.50648,0.2445,1.75664,1.59834,1.57726,0.0015248,0.0015248,0.0015248
14,503.072,1.61002,1.55315,1.49448,0.54306,0.50654,0.53305,0.26352,1.72836,1.52541,1.56359,0.0014852,0.0014852,0.0014852
15,537.98,1.61731,1.56168,1.49344,0.55877,0.46875,0.50726,0.25068,1.72555,1.54852,1.53826,0.0014456,0.0014456,0.0014456
16,572.782,1.61218,1.55513,1.48933,0.59958,0.51381,0.54707,0.26821,1.73333,1.50492,1.56234,0.001406,0.001406,0.001406
17,607.595,1.59689,1.5307,1.47993,0.58799,0.49491,0.54215,0.26967,1.69552,1.52028,1.53887,0.0013664,0.0013664,0.0013664
18,642.522,1.59456,1.52796,1.49293,0.58999,0.50509,0.55005,0.28033,1.69147,1.48312,1.53766,0.0013268,0.0013268,0.0013268
19,677.607,1.58293,1.51401,1.47327,0.57931,0.48136,0.5282,0.26124,1.71779,1.52068,1.53459,0.0012872,0.0012872,0.0012872
20,712.444,1.57537,1.50708,1.46999,0.59018,0.52119,0.56578,0.28096,1.67942,1.46174,1.53674,0.0012476,0.0012476,0.0012476
21,747.247,1.5624,1.50287,1.46686,0.60103,0.52616,0.57586,0.28452,1.67398,1.47572,1.51519,0.001208,0.001208,0.001208
22,782.296,1.56753,1.49475,1.46387,0.59767,0.52326,0.57206,0.27817,1.69715,1.46832,1.51611,0.0011684,0.0011684,0.0011684
23,817.259,1.56711,1.48774,1.46,0.60199,0.51453,0.55944,0.28143,1.67725,1.48558,1.49866,0.0011288,0.0011288,0.0011288
24,852.099,1.57373,1.47809,1.4645,0.60698,0.5109,0.56112,0.28385,1.67406,1.44908,1.51565,0.0010892,0.0010892,0.0010892
25,886.842,1.56396,1.46984,1.46316,0.61871,0.54506,0.58073,0.29201,1.68165,1.43472,1.5336,0.0010496,0.0010496,0.0010496
26,921.627,1.55384,1.47624,1.44913,0.61626,0.53802,0.58152,0.29465,1.66761,1.44183,1.51056,0.00101,0.00101,0.00101
27,957.296,1.54252,1.4573,1.45223,0.55756,0.55814,0.56506,0.28053,1.64913,1.50633,1.49118,0.0009704,0.0009704,0.0009704
28,993.069,1.53533,1.45423,1.44733,0.61605,0.49855,0.55581,0.27622,1.6632,1.49026,1.48981,0.0009308,0.0009308,0.0009308
29,1028.07,1.53375,1.43442,1.44052,0.59132,0.52253,0.57109,0.28305,1.69939,1.43536,1.49688,0.0008912,0.0008912,0.0008912
30,1062.68,1.51963,1.42684,1.43602,0.63769,0.52956,0.60263,0.30513,1.64902,1.39638,1.48466,0.0008516,0.0008516,0.0008516
31,1097.28,1.5143,1.41079,1.42495,0.60317,0.54506,0.59747,0.30577,1.65056,1.38179,1.49295,0.000812,0.000812,0.000812
32,1132.09,1.51864,1.41944,1.43353,0.61571,0.54377,0.5981,0.3083,1.63737,1.37906,1.47797,0.0007724,0.0007724,0.0007724
33,1167.05,1.50685,1.41248,1.42138,0.62028,0.53423,0.58595,0.30392,1.6153,1.41661,1.48162,0.0007328,0.0007328,0.0007328
34,1201.79,1.4981,1.40265,1.41992,0.63082,0.55814,0.60369,0.31361,1.63769,1.35208,1.49384,0.0006932,0.0006932,0.0006932
