epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2094,1.74098,2.10221,1.59849,0.39711,0.39244,0.35789,0.15382,1.92789,2.28605,1.75661,0.00066494,0.00066494,0.00066494
2,89.4558,1.82082,1.92762,1.64831,0.42913,0.42078,0.3715,0.15035,1.97039,2.18387,1.78495,0.00130524,0.00130524,0.00130524
3,129.764,1.81669,1.88247,1.64271,0.37792,0.38154,0.32267,0.13211,1.98634,2.00408,1.75652,0.00191914,0.00191914,0.00191914
4,169.937,1.78981,1.82039,1.61265,0.53901,0.39244,0.44331,0.19431,1.89235,1.79278,1.65963,0.0018812,0.0018812,0.0018812
5,210.241,1.73839,1.77459,1.59238,0.56612,0.46748,0.49245,0.21937,1.85017,1.73127,1.64591,0.0018416,0.0018416,0.0018416
6,250.451,1.72734,1.74348,1.57883,0.53395,0.49782,0.49543,0.22934,1.79631,1.79646,1.5883,0.001802,0.001802,0.001802
7,290.953,1.70141,1.70849,1.55446,0.52088,0.42442,0.45485,0.21496,1.81292,1.73558,1.59751,0.0017624,0.0017624,0.0017624
8,331.408,1.6835,1.68658,1.55286,0.56692,0.49419,0.51415,0.2485,1.77494,1.61107,1.58066,0.0017228,0.0017228,0.0017228
9,371.676,1.67343,1.67138,1.53848,0.55033,0.46607,0.50123,0.23798,1.78337,1.62582,1.58792,0.0016832,0.0016832,0.0016832
10,411.803,1.66754,1.64211,1.52807,0.55188,0.47347,0.51503,0.24985,1.74922,1.61077,1.55489,0.0016436,0.0016436,0.0016436
11,452.148,1.65925,1.6386,1.52946,0.53403,0.52326,0.50736,0.22703,1.7833,1.66124,1.58315,0.001604,0.001604,0.001604
12,492.323,1.64762,1.61054,1.51553,0.54246,0.50799,0.51078,0.25681,1.73747,1.5399,1.54745,0.0015644,0.0015644,0.0015644
13,532.957,1.6276,1.5985,1.51427,0.5588,0.52253,0.54105,0.26358,1.75748,1.52981,1.58017,0.0015248,0.0015248,0.0015248
14,573.304,1.62014,1.58906,1.50907,0.56618,0.51235,0.55033,0.26979,1.77874,1.51369,1.56855,0.0014852,0.0014852,0.0014852
15,613.941,1.60008,1.58466,1.49705,0.56947,0.52005,0.54911,0.277,1.68729,1.53202,1.51379,0.0014456,0.0014456,0.0014456
16,654.179,1.60354,1.56868,1.48615,0.59036,0.52326,0.56892,0.28266,1.68942,1.51562,1.53118,0.001406,0.001406,0.001406
17,694.546,1.61237,1.57934,1.50248,0.58618,0.50436,0.54739,0.27405,1.70124,1.49644,1.51236,0.0013664,0.0013664,0.0013664
